"job_id","job_title","location","salary_currency","salary_min","salary_max","website","highest_ed","years_exp","continent","country","skills"
"41870","data analyst partner development statisticsmlbi bangkok based relocation provided","Thailand","USD",92000,130000,"ai-jobs.net","bachelor",6,"Asia","Thailand","business intelligence, computer science, data analysis, data analytics, data mining, data visualization, economics, machine learning, mathematics, pandas, power bi, privacy, python, r, scala, sql, statistics, travel, creativity, collaboration, problem solving, tableau, communication, programming, data science, microsoft sql server"
"41912","senior data engineer stockholm sweden","Sweden","USD",115000,180000,"ai-jobs.net",NA,3,"Europe","Sweden","agile, apis, architecture, aws, computer science, consulting, data mining, data pipelines, engineering, etl, flink, gcp, google cloud, hadoop, linux, looker, machine learning, mathematics, ml models, open source, pipelines, python, r&d, research, scrum, spark, sql, statistics, tableau, data engineering, data science, data processing, programming, big data, communication, command line, scripting, agile methodologies, curiosity, testing, collaboration"
"41920","data engineer","Norway","USD",73000,120000,"ai-jobs.net",NA,NA,"Europe","Norway","agile, apis, architecture, data management, devops, gitlab, grafana, industrial, kubernetes, power bi, security, sql, collaboration, automation, testing, data wrangling, communication, api"
"41927","senior bi analyst supply analytics bangkok based role relocation provided","Thailand","USD",48000,78000,"ai-jobs.net","bachelor",4,"Asia","Thailand","a/b testing, business intelligence, computer science, consulting, data analysis, data analytics, data mining, data studio, data visualization, e commerce, economics, engineering, etl, finance, machine learning, mathematics, metabase, power bi, privacy, prototyping, python, r, sql, statistics, tableau, travel, creativity, collaboration, data science, project management, leadership, c, problem solving, automation, programming, communication, logistic regression, microsoft sql server"
"41936","bi developer","Lebanon","USD",55000,102000,"ai-jobs.net","bachelor",NA,"Asia","Lebanon","business intelligence, computer science, data warehouse, etl, informatica, qlik, research, sql, talend, testing"
"41854","senior backend engineer core data team","United States","USD",51000,94000,"ai-jobs.net",NA,5,"Americas","United States","apis, architecture, aws, engineering, kanban, python, research, snowflake, sql"
"41863","data analyst manager",NA,"USD",92000,130000,"ai-jobs.net","phd",8,NA,NA,"blockchain, computer science, crypto, engineering, finance, mathematics, neo4j, nosql, open source, power bi, privacy, python, qlikview, r, sas, sql, statistics, communication, project management, tableau, database management, programming, c++"
"41886","director data science remote","United States","USD",73000,136000,"ai-jobs.net","master",10,"Americas","United States","computer science, data analytics, data visualization, genetics, mathematics, python, r, research, data science, communication, sql, travel"
"41884","nlp engineer","Pakistan","USD",35000,65000,"ai-jobs.net","bachelor",1,"Asia","Pakistan","architecture, classification, gans, keras, kubeflow, machine learning, mathematics, mlflow, mlops, nlp, python, pytorch, research, sagemaker, semantic analysis, statistics, statistical analysis, machine learning algorithms, problem solving, natural language processing, tensorflow, data modeling, communication"
"41914","senior data engineer","India","USD",73000,120000,"ai-jobs.net",NA,NA,"Asia","India","airflow, apis, architecture, avro, aws, big data, bigquery, data analytics, dataflow, data quality, docker, dynamodb, etl, flask, flink, gcp, kafka, kinesis, kubernetes, lightgbm, machine learning, metabase, mysql, python, scala, scikit learn, snowflake, spark, sql, streaming, tableau, terraform, data science, data driven decision making, data processing, programming, api, xgboost"
"41931","principal data architect","Germany","USD",56000,104000,"ai-jobs.net",NA,5,"Europe","Germany","agile, airflow, architecture, aws, azure, computer science, data management, data pipelines, dataproc, devops, engineering, gcp, kubeflow, machine learning, oop, pipelines, python, spark, predictive analytics, agile methodologies, data engineering, xsd, programming"
"41940","data engineer python developer","India","USD",95000,171000,"ai-jobs.net","master",NA,"Asia","India","agile, apis, architecture, aws, bitbucket, data analysis, docker, engineering, etl, finance, git, kubernetes, lambda, machine learning, mathematics, microservices, mongodb, oop, pipelines, postgresql, python, research, stem, collaboration, data communication, automation, programming, curiosity, communication, problem solving, ux, leadership"
"41921","data quality senior analyst contract","United States","USD",185000,NA,"ai-jobs.net",NA,7,"Americas","United States","amplitude, data quality, excel, finance, communication, collaboration, google sheets"
"41907","senior cloud data engineer mfd","Germany","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","Germany","architecture, aws, data pipelines, data warehouse, devops, docker, elt, engineering, etl, kubernetes, machine learning, microservices, pipelines, data engineering, data science, leadership, snowflake, communication"
"41904","business data engineer","Netherlands","USD",61000,135000,"ai-jobs.net",NA,NA,"Europe","Netherlands","azure, databricks, data management, data pipelines, devops, engineering, pipelines, predictive maintenance, python, data engineering, sql"
"41910","aws data engineer","United States","USD",56000,105000,"ai-jobs.net",NA,5,"Americas","United States","architecture, aws, big data, consulting, data analysis, data pipelines, data quality, distributed systems, engineering, etl, hadoop, lambda, linux, mpp, pipelines, predictive modeling, quicksight, redshift, spark, sql, creativity, statistical analysis, data engineering, programming, data modeling, optimization, data processing"
"41852","lead analytics engineer","India","USD",45000,84000,"ai-jobs.net",NA,7,"Asia","India","agile, bigquery, business analytics, data analysis, data analytics, data visualization, engineering, fintech, looker, machine learning, ml models, pandas, python, redash, redshift, snowflake, sql, statistics, leadership, collaboration, storytelling, data processing, programming, open source, superset, communication"
"41930","data architect","Poland","USD",135000,195000,"ai-jobs.net",NA,NA,"Europe","Poland","agile, apis, architecture, big data, dataflow, data governance, data management, data pipelines, data quality, data strategy, data warehouse, engineering, gcp, google cloud, kafka, pipelines, privacy, security, testing, data engineering, data security, api"
"41905","senior business data engineer","Netherlands","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","Netherlands","apis, azure, big data, databricks, data management, data pipelines, devops, engineering, pipelines, predictive maintenance, python, data engineering, sql"
"41929","etl developer","Serbia","USD",63000,250000,"ai-jobs.net",NA,NA,"Europe","Serbia","bigquery, dataflow, etl, gcp, gitlab, jira, kafka, linux, mongodb, postgresql, sql, talend"
"41923","senior autonomy behavior engineer intent","United States","USD",69000,128000,"ai-jobs.net","phd",3,"Americas","United States","ann, c++, computer science, engineering, genetics, git, linux, machine learning, phd, physics, robotics, c, programming, optimization"
"41859","canada early talent supply chain data analyst intern summer","Canada",NA,NA,NA,"ai-jobs.net","master",NA,"Americas","Canada","business analytics, data analysis, excel, jira, power bi, sql, data science, statistics, communication"
"41843","data analysis and visualisation consultant","Zimbabwe","USD",44000,81000,"ai-jobs.net","master",6,"Africa","Zimbabwe","data analysis, data analytics, data quality, nonprofit, data collection, collaboration, data cleaning, statistics, programming"
"41897","junior data scientist","United States","USD",39000,1e+05,"ai-jobs.net",NA,NA,"Americas","United States","consulting, data analysis, data mining, data visualization, engineering, machine learning, nlp, security, splunk, statistics, problem solving, leadership, data cleaning, programming, unstructured data, natural language processing, project management"
"41918","junior data engineer reporting specialist","Greece","USD",61000,135000,"ai-jobs.net","bachelor",NA,"Europe","Greece","agile, apis, aws, azure, computer science, engineering, etl, git, machine learning, nosql, pipelines, power bi, sql, problem solving, agile methodologies, cloud computing"
"41893","vp data scientist","United States","USD",56000,120000,"ai-jobs.net","bachelor",2,"Americas","United States","architecture, data visualization, engineering, flask, jupyter, machine learning, numpy, pandas, plotly, python, pytorch, scikit learn, spark, sql, statistical modeling, statistics, tensorflow, testing, problem solving, statistical analysis, unstructured data, machine learning algorithms, data science, programming, storytelling"
"41928","etl developer capital market domain mumbai","India","USD",63000,250000,"ai-jobs.net",NA,NA,"Asia","India","agile, banking, consulting, etl, finance, python, snowflake, automation, sql, unix"
"41915","data engineer","United Kingdom","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","United Kingdom","agile, architecture, aws, azure, big data, ci/cd, dataops, data pipelines, data warehousing, devops, engineering, etl, finance, gcp, git, pipelines, power bi, python, rdbms, research, snowflake, data integration, data engineering, problem solving, collaboration, sql, programming, scripting, c#"
"41872","data analyst data protection","United States","USD",62000,135000,"ai-jobs.net","master",5,"Americas","United States","consulting, consulting firm, data analysis, data governance, data management, data quality, excel, machine learning, market research, research, security, data science, leadership, communication, data modeling, problem solving, data security, tableau"
"41844","senior data analyst","Spain","USD",92000,130000,"ai-jobs.net",NA,7,"Europe","Spain","a/b testing, angular, apis, architecture, big data, data management, data studio, e commerce, gcp, google cloud, looker, nodejs, qlik, react, sql, optimization, travel, google analytics"
"41890","senior data scientist discovery experiences","United States","USD",129000,185000,"ai-jobs.net","phd",7,"Americas","United States","airflow, big data, causal inference, computer science, deep learning, economics, engineering, flink, genetics, hadoop, machine learning, mathematics, phd, physics, python, r, spark, sql, statistical modeling, data science, data engineering, programming, statistics, scripting"
"41841","data analyst","United States","USD",42000,60000,"ai-jobs.net","master",1,"Americas","United States","computer science, data analysis, engineering, finance, mathematics, power bi, python, qlik, r, sql, statistics, data engineering, tableau"
"41909","senior data engineer","United States","USD",73000,120000,"ai-jobs.net","master",7,"Americas","United States","architecture, classification, csv, data governance, data management, data pipelines, data quality, data warehouse, engineering, etl, json, pipelines, python, rdbms, research, sql, testing, data processing, data engineering, xml, html, leadership, communication"
"41853","senior analytics engineer","United States","USD",110000,184000,"ai-jobs.net",NA,3,"Americas","United States","a/b testing, airflow, architecture, aws, bigquery, ci/cd, data governance, data pipelines, data quality, data warehouse, data warehousing, elt, engineering, etl, gcp, git, github, jira, looker, lookml, machine learning, mongodb, nlp, nosql, pipelines, postgresql, python, r, rdbms, snowflake, sql, statistics, tableau, curiosity, data modeling, programming"
"41866","senior data analyst partner development statisticsmlbi bangkok based relocation provided","Thailand","USD",92000,130000,"ai-jobs.net","bachelor",8,"Asia","Thailand","business intelligence, computer science, data analysis, data analytics, data mining, data visualization, economics, machine learning, mathematics, pandas, power bi, privacy, python, r, scala, sql, statistics, travel, creativity, collaboration, problem solving, tableau, communication, programming, data science, microsoft sql server"
"41832","manager data science","South Africa","USD",30000,57000,"ai-jobs.net",NA,4,"Africa","South Africa","architecture, business intelligence, classification, data analysis, data mining, engineering, etl, machine learning, power bi, r, sas, statistics, tableau, net, statistical analysis, unstructured data, project management, data science, spss"
"41826","senior data engineer data warehouse","India","USD",115000,180000,"ai-jobs.net","master",8,"Asia","India","agile, architecture, ci/cd, data analysis, data pipelines, data warehouse, engineering, etl, hadoop, ms sql, mysql, pipelines, rdbms, sql, data integration, data engineering, leadership, data validation, scripting, automation, problem solving, travel"
"41831","senior manager data analytics internal audit","United States","USD",44000,81000,"ai-jobs.net","master",8,"Americas","United States","computer science, data analysis, data analytics, data warehouse, engineering, mathematics, oracle, power bi, robotics, rpa, sql, ssis, stem, tableau, travel, microsoft sql server, automation, project management, leadership, t sql, oracle database, communication"
"41815","it product manager master data management","Poland","USD",62000,115000,"ai-jobs.net","master",5,"Europe","Poland","apis, computer science, data management, engineering, itil, spark"
"41820","sr data analyst onsitehybrid","United States","USD",92000,130000,"ai-jobs.net","phd",10,"Americas","United States","architecture, banking, consulting, data analysis, data management, data warehouse, finance, ms sql, phd, rdbms, sql, automation, ux, problem solving, leadership, travel"
"41819","sr manager customer data science","United States","USD",176000,228000,"ai-jobs.net","master",4,"Americas","United States","airflow, apis, data analytics, data visualization, looker, predictive modeling, python, r, sas, sql, statistics, data science, automation, scripting, programming, tableau"
"41824","manager data engineering","India","USD",115000,180000,"ai-jobs.net","master",8,"Asia","India","agile, apis, architecture, big data, business intelligence, ci/cd, data analysis, data pipelines, data visualization, devops, engineering, etl, hadoop, informatica, kafka, kpis, machine learning, microservices, ms sql, open source, pentaho, pipelines, power bi, python, robotics, rpa, scrum, spark, sql, ssis, automation, data engineering, tableau, data processing, communication"
"41825","staff data engineer analytics","India","USD",115000,180000,"ai-jobs.net","master",10,"Asia","India","architecture, azure, business intelligence, clustering, data analysis, data governance, data mining, data pipelines, data visualization, engineering, etl, pipelines, power bi, qlik, scrum, security, sql, statistical modeling, statistics, tableau, data engineering, communication, decision trees, business acumen"
"41836","sr data analyst","Costa Rica","USD",92000,130000,"ai-jobs.net","master",NA,"Americas","Costa Rica","agile, engineering, excel, finance, power bi, python, r, rdbms, snowflake, sql, curiosity, business acumen, predictive analytics, leadership, tableau, data engineering, data science, communication, problem solving, project management"
"41821","senior data analytics auditor","United States","USD",89000,123000,"ai-jobs.net","bachelor",NA,"Americas","United States","computer science, data analytics, finance, mathematics, travel, data science, statistics"
"41823","data analyst","Spain","USD",92000,130000,"ai-jobs.net","master",5,"Europe","Spain","a/b testing, angular, apis, architecture, big data, bigquery, data management, data studio, gcp, google cloud, looker, nodejs, qlik, react, sql, optimization, google analytics, travel"
"41818","senior machine learning engineer modeling risk","United States","USD",142000,204000,"ai-jobs.net","phd",5,"Americas","United States","architecture, banking, blockchain, classification, computer science, crypto, deep learning, engineering, git, linux, machine learning, mathematics, ml models, nlp, nosql, numpy, pandas, phd, physics, python, pytorch, research, scikit learn, sql, statistics, reinforcement learning, natural language processing, optimization, tensorflow, command line, c, open source"
"41786","aws data engineer advisor","United States","USD",63000,117000,"ai-jobs.net","bachelor",6,"Americas","United States","architecture, aws, data governance, data pipelines, data visualization, data warehousing, engineering, etl, finance, lambda, pipelines, python, quicksight, redshift, security, shell scripting, sql, data storage, data processing, data security, collaboration, communication, optimization, data engineering, programming, data modeling, tableau, problem solving"
"41781","senior machine learning engineer financial crimes technology","United States","USD",142000,204000,"ai-jobs.net",NA,NA,"Americas","United States","banking, blockchain, computer science, crypto, engineering, finance, machine learning, mathematics, ml infrastructure, mlops, physics, security, statistics, curiosity, communication, c, open source"
"41785","snowflake data engineer remote job","Peru","USD",73000,120000,"ai-jobs.net",NA,8,"Americas","Peru","athena, aws, bigquery, dynamodb, fivetran, git, mongodb, oracle, postgresql, python, snowflake, sql, communication, git version control, tableau, data integration"
"41799","marketing data analyst","United States","USD",121000,185000,"ai-jobs.net",NA,5,"Americas","United States","banking, blockchain, business analytics, crypto, dataops, data pipelines, engineering, pipelines, collaboration, data science, sql, c, open source"
"41810","senior data engineer","Poland","USD",115000,180000,"ai-jobs.net",NA,3,"Europe","Poland","agile, architecture, data analytics, data warehouse, devops, elt, engineering, etl, git, mysql, olap, oracle, postgresql, power bi, python, r, scala, spark, sql, ssis, automation, data engineering, microsoft sql server, t sql, optimization"
"41816","senior software engineer big data","Singapore","USD",55000,102000,"ai-jobs.net","master",2,"Asia","Singapore","agile, api development, apis, big data, business intelligence, computer science, data governance, data visualization, engineering, hadoop, kafka, open source, r, r&d, spark, sql, tableau, tdd, testing, automation, data processing, business acumen, data engineering, travel"
"41790","data scientist london emea research team dh","United Kingdom","USD",129000,185000,"ai-jobs.net",NA,NA,"Europe","United Kingdom","consulting, data analysis, industrial, project management, research"
"41783","data engineer hf","France","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","France","agile, ansible, architecture, aws, azure, big data, cassandra, data management, dataops, devops, gcp, git, grafana, hbase, mongodb, nosql, php, power bi, python, qlik, robotics, rpa, sql, net, data science, tableau"
"41794","consultant senior data visualisation hf","France","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","France","big data, data management, php, power bi, python, qlik, qlikview, robotics, rpa, net, tableau, communication"
"41795","compliance reportingdata visualization designer french speaker","Portugal","USD",39000,73000,"ai-jobs.net",NA,NA,"Europe","Portugal","banking, business intelligence, c++, data visualization, excel, power bi, sql, tableau, programming, c, communication"
"41805","operations data analyst","United Kingdom","USD",51000,94000,"ai-jobs.net",NA,NA,"Europe","United Kingdom","agile, bitbucket, business intelligence, data analysis, data analytics, excel, git, machine learning, pandas, power bi, python, sql, tableau, testing, automation"
"41803","junior supply chain data analyst premaster programm","Switzerland","USD",42000,60000,"ai-jobs.net","master",NA,"Europe","Switzerland","data analytics, excel, julia, power bi, sql"
"41798","devops engineer cloud big data platform fmdiv","Germany","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","Germany","azure, big data, bitbucket, ci/cd, computer science, devops, engineering, git, python, scala, spark, terraform, automation, testing, data processing, scripting, c"
"41784","senior data engineer","Colombia","USD",115000,180000,"ai-jobs.net",NA,NA,"Americas","Colombia","api development, apis, aws, big data, data analytics, data pipelines, engineering, etl, pipelines, data engineering, programming, python"
"41817","staff data engineer big data","India","USD",115000,180000,"ai-jobs.net","master",8,"Asia","India","agile, angular, api development, apis, architecture, big data, computer science, db2, git, hadoop, hbase, hdfs, kafka, map reduce, maven, microservices, mongodb, mysql, nosql, postgresql, python, scala, spark, automation, problem solving, communication"
"41802","data analyst","Costa Rica","USD",42000,60000,"ai-jobs.net",NA,NA,"Americas","Costa Rica","data analytics, excel, research"
"41797","cdi media data strategist hf","France","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","France","spark"
"41809","finance data engineer","Switzerland","USD",61000,135000,"ai-jobs.net",NA,NA,"Europe","Switzerland","big data, computer science, engineering, etl, excel, finance, linux, mathematics, python, spotfire, sql, travel, kpis, programming, talend, html, curiosity, communication"
"41782","data engineer hardware","United States","USD",129000,185000,"ai-jobs.net",NA,NA,"Americas","United States","airflow, apis, aws, banking, bigquery, blockchain, crypto, data pipelines, data quality, engineering, etl, finance, fivetran, gcp, git, lambda, linux, pipelines, python, rdbms, redshift, ruby, security, snowflake, data engineering, automation, sql, programming, command line, c, open source"
"41769","data analystin fur customer analytics remote moglich","Germany","USD",75000,130000,"ai-jobs.net",NA,NA,"Europe","Germany","data analytics, kpis, power bi, sql, tableau"
"41753","consultante data science bureau de lyon","France","USD",39000,73000,"ai-jobs.net",NA,NA,"Europe","France","big data, consulting, linux, machine learning, matlab, perl, python, r, r&d, data science, sas, js, c++, unix"
"41788","sr data engineer hybrid","United States","USD",115000,180000,"ai-jobs.net",NA,8,"Americas","United States","athena, aws, big data, business intelligence, clustering, computer science, dataops, data pipelines, devops, distributed systems, elt, engineering, etl, kafka, kinesis, lambda, machine learning, mathematics, nosql, pipelines, python, r, r&d, redshift, research, snowflake, sql, statistics, collaboration, data integration, statistical analysis, automation, data engineering, data science, streaming, programming, data modeling"
"41754","consultante data science","France","USD",39000,73000,"ai-jobs.net",NA,NA,"Europe","France","big data, consulting, linux, machine learning, matlab, perl, python, r, data science, sas, js, c++, unix"
"41765","manufacturing data engineer","United States","USD",61000,135000,"ai-jobs.net","bachelor",4,"Americas","United States","architecture, engineering, git, javascript, linux, mathematics, oracle, python, robotics, sas, spark, sql, creativity, c, c++, c#, net, html, stem"
"41755","une data scientist","France","USD",39000,1e+05,"ai-jobs.net",NA,NA,"Europe","France","business analytics, business intelligence, git, matlab, oracle, plotly, python, r, rapidminer, sql, communication, tableau"
"41800","senior data analyst mwd","Germany","USD",92000,130000,"ai-jobs.net",NA,NA,"Europe","Germany","business intelligence, javascript, kpis, machine learning, power bi, qlik, tableau, ux, google analytics, google tag manager, html, css"
"41751","consultante data scientist recherche operationnelle","France","USD",39000,1e+05,"ai-jobs.net",NA,NA,"Europe","France","big data, consulting, julia, linux, machine learning, matlab, perl, python, r, r&d, data science, sas, js, c++, unix"
"41763","databrickssparkscala senior data engineer pipeline","United Kingdom","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","United Kingdom","agile, apis, architecture, aws, azure, big data, cassandra, data analytics, databricks, data management, data quality, data warehouse, devops, elt, etl, kafka, mongodb, neo4j, nosql, open source, oracle, pipelines, postgresql, python, rdbms, scala, spark, sql, ssis, streaming, talend, api, unstructured data"
"41757","computer vision developer rd","India","USD",55000,102000,"ai-jobs.net",NA,NA,"Asia","India","autonomous driving, c++, caffe, classification, computer science, computer vision, cuda, deep learning, engineering, gpu, hpc, industrial, keras, mxnet, opencv, open source, prototyping, python, pytorch, r, r&d, tensorflow, programming, c, neural network, theano, problem solving, communication"
"41770","data analyst","South Africa","USD",42000,60000,"ai-jobs.net",NA,NA,"Africa","South Africa","agile, business intelligence, data analysis, data management, excel, market research, ms sql, power bi, privacy, qlik, qlikview, research, sas, sql, ssis, net, teradata, automation"
"41747","data scientist fmdiv","Germany","USD",129000,185000,"ai-jobs.net","phd",5,"Europe","Germany","agile, business intelligence, classification, clustering, data mining, deep learning, machine learning, mathematics, mlops, phd, physics, python, r, spark, sql, data science, collaboration, statistics"
"41744","insight analyst experimentation  month ftc","United Kingdom","USD",56000,105000,"ai-jobs.net",NA,1,"Europe","United Kingdom","a/b testing, python, r, sql, statistics, creativity, testing, curiosity, google analytics, communication"
"41742","senior data engineer","Israel","USD",115000,180000,"ai-jobs.net","phd",5,"Asia","Israel","architecture, bigquery, elasticsearch, engineering, etl, machine learning, mongodb, ms sql, mysql, nosql, oracle, python, rdbms, research, data engineering, data science, spark"
"41748","consultante senior data science bureau de nantes","France","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","France","big data, consulting, consulting firm, linux, machine learning, matlab, perl, python, r, collaboration, data science, sas, js, c++, unix"
"41766","senior devops engineer big data analytics cloud infrastructure","Ireland","USD",62000,115000,"ai-jobs.net","master",7,"Europe","Ireland","ansible, apis, aws, azure, big data, ci/cd, computer science, data analytics, data governance, devops, docker, hadoop, hbase, hdfs, kubernetes, machine learning, python, security, spark, streaming, curiosity, automation, terraform, communication, collaboration"
"41801","data analyst allegro pay","Poland","USD",92000,130000,"ai-jobs.net",NA,2,"Europe","Poland","airflow, banking, consulting, dataflow, data visualization, e commerce, fintech, git, machine learning, python, snowflake, sql, tableau, net"
"41741","staff data engineer","India","USD",49000,92000,"ai-jobs.net","phd",10,"Asia","India","architecture, data visualization, phd, python, scala, testing, open source"
"41787","senior data engineer big data refe","Slovakia","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","Slovakia","agile, architecture, aws, big data, data analytics, data governance, data pipelines, db2, engineering, flink, git, informatica, jira, kafka, linux, microservices, perl, pipelines, python, scala, scrum, security, snowflake, spark, sql, streaming, communication, unix, automation, data engineering, programming, data integration, testing"
"41738","data science subject matter expert","Australia","USD",55000,102000,"ai-jobs.net",NA,15,"Oceania","Australia","azure, banking, big data, computer vision, conversational ai, data visualization, deep learning, gcp, github, hadoop, jupyter, keras, machine learning, nlp, nltk, olap, opencv, power bi, python, qlik, r, sas, scikit learn, sql, statistics, tableau, data science, optimization, testing, problem solving, machine learning algorithms, programming, spss"
"41793","senior project lead clinical data management","United States","USD",69000,128000,"ai-jobs.net","bachelor",10,"Americas","United States","biology, computer science, data management, data strategy, economics, mathematics, leadership, statistics"
"41789","data science and analysis","United States","USD",69000,128000,"ai-jobs.net","master",5,"Americas","United States","agile, architecture, business intelligence, data analysis, data management, data visualization, eda, kanban, power bi, python, r, research, scrum, security, sql, tableau, testing, programming, leadership"
"41752","consultante data science bureau de marseille","France","USD",39000,73000,"ai-jobs.net",NA,NA,"Europe","France","agile, architecture, big data, consulting, data management, linux, machine learning, matlab, perl, python, r, data science, sas, js, c++, unix"
"41673","machine learning specialist","Malta","USD",62000,115000,"ai-jobs.net","phd",5,"Europe","Malta","agile, aws, azure, big data, ci/cd, data visualization, devops, docker, elasticsearch, engineering, gcp, gitlab, grafana, hdfs, kafka, keras, kibana, kubeflow, kubernetes, logstash, machine learning, mlflow, ml models, nosql, pipelines, python, pytorch, r, sagemaker, spark, splunk, sql, tensorflow, testing, automation, cloud computing, collaboration, scripting, communication, data storage"
"41665","machine learning engineer intern","United States",NA,NA,NA,"ai-jobs.net",NA,NA,"Americas","United States","architecture, computer vision, cuda, deep learning, machine learning, opencv, pytorch, tensorflow, tensorrt, optimization, machine learning algorithms, testing"
"41715","data engineer","Indonesia","USD",115000,180000,"ai-jobs.net","bachelor",NA,"Asia","Indonesia","agile, architecture, aws, big data, business analytics, computer science, data warehouse, e commerce, engineering, etl, hadoop, kafka, mathematics, python, spark, sql, statistics, programming"
"41663","senior analyst aml operations  month contract","Canada","USD",69000,128000,"ai-jobs.net",NA,2,"Americas","Canada","data analysis, research, critical thinking, communication"
